Beam_I [mm4],Column_I [mm4],Bracing_A [mm2],Load_Lat [kN],Disp_lat [m]
0.8014,3.492,137.0,10.0,0.0029197371637482215
0.8014,3.492,137.0,20.0,0.005830276474268511
0.8014,3.492,137.0,30.0,0.008740815784788799
0.8014,3.492,137.0,40.0,0.01165135509530909
0.8014,3.492,137.0,50.0,0.01456189440582938
0.8014,3.492,153.0,10.0,0.0026155926362933677
0.8014,3.492,153.0,20.0,0.005221883055903803
0.8014,3.492,153.0,30.0,0.007828173475514238
0.8014,3.492,153.0,40.0,0.010434463895124672
0.8014,3.492,153.0,50.0,0.013040754314735108
0.8014,3.492,182.0,10.0,0.0022008860082689766
0.8014,3.492,182.0,20.0,0.004392283321407752
0.8014,3.492,182.0,30.0,0.006583680634546528
0.8014,3.492,182.0,40.0,0.008775077947685306
0.8014,3.492,182.0,50.0,0.010966475260824086
0.8014,3.492,178.0,10.0,0.002250033693807401
0.8014,3.492,178.0,20.0,0.0044906042163876825
0.8014,3.492,178.0,30.0,0.006731174738967966
0.8014,3.492,178.0,40.0,0.008971745261548246
0.8014,3.492,178.0,50.0,0.01121231578412853
0.8014,3.492,198.0,10.0,0.0020242071204395464
0.8014,3.492,198.0,20.0,0.00403882405458905
0.8014,3.492,198.0,30.0,0.006053440988738552
0.8014,3.492,198.0,40.0,0.008068057922888052
0.8014,3.492,198.0,50.0,0.010082674857037557
0.8014,3.492,238.0,10.0,0.0016867429444984367
0.8014,3.492,238.0,20.0,0.003363645976457984
0.8014,3.492,238.0,30.0,0.005040549008417529
0.8014,3.492,238.0,40.0,0.006717452040377077
0.8014,3.492,238.0,50.0,0.008394355072336625
0.8014,3.492,254.0,10.0,0.001581627165631212
0.8014,3.492,254.0,20.0,0.003153316026639771
0.8014,3.492,254.0,30.0,0.0047250048876483295
0.8014,3.492,254.0,40.0,0.006296693748656888
0.8014,3.492,254.0,50.0,0.007868382609665448
0.8014,3.492,307.0,10.0,0.0013120372780330964
0.8014,3.492,307.0,20.0,0.0026138158826042083
0.8014,3.492,307.0,30.0,0.00391559448717532
0.8014,3.492,307.0,40.0,0.005217373091746432
0.8014,3.492,307.0,50.0,0.006519151696317543
0.8014,3.492,373.0,10.0,0.0010839986296184581
0.8014,3.492,373.0,20.0,0.002157350294966615
0.8014,3.492,373.0,30.0,0.003230701960314771
0.8014,3.492,373.0,40.0,0.004304053625662927
0.8014,3.492,373.0,50.0,0.0053774052910110825
0.8014,3.492,325.0,10.0,0.0012405899271088147
0.8014,3.492,325.0,20.0,0.002470814178599194
0.8014,3.492,325.0,30.0,0.003701038430089574
0.8014,3.492,325.0,40.0,0.004931262681579953
0.8014,3.492,325.0,50.0,0.006161486933070332
0.8014,6.062,137.0,10.0,0.0029061283557478886
0.8014,6.062,137.0,20.0,0.005803124505989359
0.8014,6.062,137.0,30.0,0.008700120656230825
0.8014,6.062,137.0,40.0,0.011597116806472296
0.8014,6.062,137.0,50.0,0.014494112956713765
0.8014,6.062,153.0,10.0,0.002601977681203774
0.8014,6.062,153.0,20.0,0.005194726345293043
0.8014,6.062,153.0,30.0,0.007787475009382314
0.8014,6.062,153.0,40.0,0.010380223673471583
0.8014,6.062,153.0,50.0,0.012972972337560852
